Round,Partition ID,Accuracy,Loss
3,15,0.7133333333333334,19.930544912815094
3,9,0.8633333333333333,12.338227689266205
3,13,0.9466666666666667,10.539498090744019
3,7,0.7583333333333333,17.294035255908966
3,4,0.7233333333333334,18.98128718137741
3,14,0.82,17.978991746902466
3,8,0.7483333333333333,17.021028995513916
3,16,0.7116666666666667,22.348884880542755
3,10,0.815,14.958048343658447
4,17,0.5383333333333333,19.92805689573288
4,8,0.93,9.026716321706772
4,18,0.8616666666666667,11.510596603155136
4,2,0.5116666666666667,19.61023724079132
4,1,0.5083333333333333,20.969394147396088
4,11,0.8666666666666667,11.936878710985184
4,12,0.47,25.302494645118713
4,19,0.8883333333333333,10.021336704492569
4,14,0.915,9.271802604198456
4,13,0.9816666666666667,5.563594073057175
4,15,0.8483333333333334,12.385302722454071
4,5,0.875,14.440139055252075
4,4,0.9016666666666666,10.50828218460083
4,6,0.795,15.055052697658539
4,16,0.855,11.860934138298035
4,7,0.875,10.412196099758148
4,9,0.935,7.51812270283699
4,3,0.955,6.367220759391785
4,0,0.8583333333333333,11.210209965705872
4,10,0.9033333333333333,8.855178624391556
5,19,0.8333333333333334,10.549531817436218
5,9,0.9416666666666667,5.047905385494232
5,13,0.9683333333333334,4.753330573439598
5,4,0.8166666666666667,10.926672101020813
5,16,0.7883333333333333,13.966413140296936
5,8,0.76,13.332326829433441
5,0,0.855,9.574089616537094
5,12,0.85,13.442176461219788
5,17,0.9633333333333334,5.951852932572365
5,7,0.8816666666666667,8.272591233253479
5,10,0.8433333333333334,9.925253003835678
5,5,0.815,15.462083637714386
5,3,0.9216666666666666,6.0278142392635345
5,14,0.875,9.637235403060913
5,6,0.825,12.627458214759827
5,15,0.8233333333333334,11.590642839670181
5,18,0.8633333333333333,9.645235925912857
5,1,0.9333333333333333,7.560942053794861
5,2,0.9666666666666667,5.221181407570839
5,11,0.845,11.662600576877594
6,13,0.985,3.067831315100193
6,10,0.935,4.909419119358063
6,3,0.96,3.81438922137022
6,14,0.905,6.869743600487709
6,6,0.82,10.823571801185608
6,9,0.9533333333333334,4.124943807721138
6,15,0.8633333333333333,9.308481365442276
6,17,0.5783333333333334,16.237540125846863
6,19,0.88,7.303395763039589
6,12,0.5466666666666666,19.56792050600052
6,0,0.8616666666666667,8.28395001590252
6,7,0.9033333333333333,6.108720749616623
6,11,0.89,7.438103660941124
6,4,0.9283333333333333,5.545030355453491
6,1,0.5683333333333334,17.091712832450867
6,8,0.96,4.404834069311619
6,16,0.8583333333333333,9.183284252882004
6,2,0.5433333333333333,16.064772069454193
6,18,0.865,8.767055660486221
6,5,0.9116666666666666,8.868236690759659
7,13,0.9766666666666667,3.2951095551252365
7,19,0.8716666666666667,7.577981561422348
7,0,0.8933333333333333,6.297811910510063
7,10,0.815,9.277110666036606
7,8,0.69,14.190853476524353
7,16,0.8316666666666667,10.196278244256973
7,7,0.9116666666666666,5.248936861753464
7,3,0.9416666666666667,4.172170102596283
7,12,0.9066666666666666,8.3154958486557
7,9,0.97,2.81864096224308
7,14,0.8866666666666667,6.765084624290466
7,11,0.8783333333333333,7.5679028034210205
7,4,0.8133333333333334,9.146985113620758
7,17,0.965,3.7076053395867348
7,15,0.8783333333333333,7.733682364225388
7,6,0.895,7.404469519853592
7,5,0.8916666666666667,9.206140160560608
7,18,0.9216666666666666,5.858708456158638
7,1,0.95,5.119698584079742
7,2,0.975,3.3047399893403053
8,10,0.9433333333333334,3.440367005765438
8,5,0.92,6.363430872559547
8,19,0.8866666666666667,6.358461193740368
8,15,0.8716666666666667,8.321737825870514
8,6,0.8533333333333334,8.799748927354813
8,2,0.595,14.240080326795578
8,1,0.6233333333333333,15.241629868745804
8,14,0.9116666666666666,5.826009385287762
8,0,0.8733333333333333,7.154278457164764
8,12,0.6066666666666667,16.547448754310608
8,13,0.985,2.207333594560623
8,18,0.88,7.40369775891304
8,9,0.9666666666666667,2.816497191786766
8,4,0.945,3.566705770790577
8,3,0.96,3.09633157402277
8,17,0.6283333333333333,13.991274952888489
8,7,0.9266666666666666,4.199926257133484
8,8,0.9716666666666667,2.902896512299776
8,11,0.9183333333333333,5.558042332530022
8,16,0.8616666666666667,8.299605518579483
9,16,0.8533333333333334,8.49044942855835
9,1,0.9583333333333334,3.8503468334674835
9,15,0.9016666666666666,6.1407600194215775
9,18,0.9316666666666666,4.562316790223122
9,2,0.9733333333333334,2.517965294420719
9,12,0.9166666666666666,6.231809690594673
9,17,0.9633333333333334,2.9185664877295494
9,0,0.91,5.130581021308899
9,10,0.8183333333333334,8.642576187849045
9,14,0.8983333333333333,5.634624145925045
9,8,0.67,14.180069953203201
9,9,0.975,2.0490775890648365
9,4,0.8283333333333334,8.253186404705048
9,3,0.9566666666666667,3.2194234915077686
9,7,0.94,3.930351458489895
9,13,0.9783333333333334,2.576214350759983
9,6,0.91,5.55918388068676
9,5,0.9233333333333333,6.447260543704033
9,19,0.8933333333333333,6.121891640126705
9,11,0.895,5.706006109714508
10,17,0.7016666666666667,11.959282517433167
10,7,0.9416666666666667,3.210401862859726
10,6,0.8883333333333333,7.127352848649025
10,14,0.9166666666666666,5.204293444752693
10,15,0.8916666666666667,7.23508083820343
10,5,0.94,4.905034959316254
10,1,0.6783333333333333,13.300360769033432
10,4,0.9533333333333334,2.706223662942648
10,11,0.925,4.543769091367722
10,18,0.905,6.082102328538895
10,8,0.9716666666666667,2.50037993863225
10,3,0.9616666666666667,2.6571807526052
10,9,0.9683333333333334,2.1522427164018154
10,12,0.69,14.082852065563202
10,2,0.6616666666666666,12.326526314020157
10,13,0.9866666666666667,1.8459463752806187
10,0,0.895,5.996073439717293
10,10,0.955,2.8388724327087402
10,19,0.8983333333333333,5.646679416298866
10,16,0.8733333333333333,7.633466452360153
