Round,Partition ID,Accuracy,Loss
1,2,0.9683333333333334,4.042044420726597
1,3,0.9641666666666666,5.023772143758833
1,7,0.9516666666666667,5.203059231862426
1,6,0.9583333333333334,5.037689261138439
1,0,0.965,4.051360371522605
1,8,0.9525,5.028328739106655
1,1,0.96,5.346894762478769
1,4,0.9683333333333334,4.735941994935274
1,5,0.9683333333333334,4.325236391276121
1,9,0.9758333333333333,4.053264357149601
2,1,0.9716666666666667,3.672200526576489
2,5,0.98,2.7842298108153045
2,8,0.9716666666666667,3.023967874236405
2,7,0.9733333333333334,3.1056692267302424
2,9,0.9816666666666667,2.684872097335756
2,2,0.98,2.541303138481453
2,3,0.975,3.3751471722498536
2,4,0.9783333333333334,3.1303772130049765
2,0,0.9783333333333334,2.3194707883521914
2,6,0.9658333333333333,3.49966978863813
3,4,0.9825,2.6403156018350273
3,8,0.9775,2.4545846504624933
3,0,0.9875,1.7238374245353043
3,9,0.985,2.1956942775286734
3,6,0.9725,2.9267701114877127
3,7,0.975,2.3875019387342036
3,1,0.9775,3.122530678869225
3,3,0.9783333333333334,2.7021453676279634
3,5,0.9858333333333333,2.147669030004181
3,2,0.9841666666666666,2.0986937296111137
4,3,0.9808333333333333,2.3207577731227502
4,4,0.9833333333333333,2.3854673110181466
4,1,0.9775,2.870003754273057
4,2,0.9866666666666667,1.8938358945888467
4,8,0.9791666666666666,2.184519595117308
4,5,0.9883333333333333,1.7948996994527988
4,7,0.9775,2.0155144388554618
4,0,0.9875,1.4681429105694406
4,6,0.9766666666666667,2.6175982829008717
4,9,0.9875,1.97288002865389
5,3,0.9825,2.1485277503961697
5,5,0.9883333333333333,1.5708552470459836
5,0,0.9883333333333333,1.3364175890455954
5,9,0.9891666666666666,1.86847620975459
5,8,0.9808333333333333,2.0348402518429793
5,2,0.9875,1.7796454425551929
5,1,0.98,2.707794208370615
5,4,0.9833333333333333,2.2596044501115102
5,6,0.9783333333333334,2.4431931389844976
5,7,0.9791666666666666,1.7971583132020896
6,9,0.9891666666666666,1.8162229316076264
6,0,0.9908333333333333,1.2562386183999479
6,5,0.9891666666666666,1.4325175938138273
6,4,0.9825,2.188517283939291
6,6,0.9825,2.3611632116444525
6,2,0.9883333333333333,1.717127680865815
6,7,0.98,1.655343071121024
6,1,0.9808333333333333,2.5940579809539486
6,8,0.9816666666666667,1.9352783903013915
6,3,0.9841666666666666,2.0561161855293903
7,3,0.9841666666666666,1.9878711714118253
7,8,0.9833333333333333,1.8737447708263062
7,5,0.99,1.3389119079947704
7,6,0.9825,2.3141919467052503
7,2,0.9891666666666666,1.6776006189757027
7,4,0.9825,2.1417460379889235
7,7,0.9825,1.5291774641009397
7,9,0.9891666666666666,1.773408758075675
7,1,0.9816666666666667,2.515300914674299
7,0,0.9916666666666667,1.1989532745355973
8,0,0.9916666666666667,1.1655008504749276
8,2,0.99,1.6622255200927611
8,5,0.9916666666666667,1.2715040078910533
8,4,0.9833333333333333,2.109671114332741
8,7,0.9841666666666666,1.4347226042227703
8,1,0.9841666666666666,2.4480550026491983
8,3,0.9866666666666667,1.9492843350526528
8,8,0.985,1.830972845913493
8,9,0.99,1.7433704923314508
8,6,0.9825,2.276980023998476
9,4,0.9841666666666666,2.0723335214861436
9,8,0.9841666666666666,1.8052986264738138
9,7,0.9883333333333333,1.3536781904913369
9,1,0.9841666666666666,2.3920182036526967
9,3,0.9875,1.9090853470697766
9,6,0.9833333333333333,2.2533755810018192
9,2,0.99,1.6543662753829267
9,5,0.9925,1.2162414418053231
9,9,0.99,1.7228146642446518
9,0,0.9916666666666667,1.140070100707817
10,0,0.9916666666666667,1.1316072306435672
10,8,0.9841666666666666,1.7814316855219658
10,4,0.9841666666666666,2.044148556320579
10,2,0.99,1.6474685728026088
10,3,0.9875,1.8761290758338873
10,5,0.9925,1.178568831524899
10,6,0.985,2.2381656165143795
10,9,0.9908333333333333,1.7071697628271068
10,1,0.9858333333333333,2.3569564028293826
10,7,0.9891666666666666,1.2808151563658612
